record_id,产品品名,产地（国家）,产地（市）,产地（省）,单混,品名,品类一级,品类二级,商品链接,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,编号,规格,采集平台,采集时间,优惠到手价,口味,委托方,生产商,背面图片,外包装图片,箱规,赠品图片,备注
recdg7dqNy,optIRasF3C,中国,绍兴,浙江,单,香脆碧根果仁,休闲零食,坚果炒货,666復至£86lG4ZuFP7Z£去>盒碼<查看【79.9元 盒马MAX 香脆碧根果仁 500g】,HM-0002A,HM,0002,A,ed80b60e-0d38-4cde-928f-e008de80fab7.jpg,79.9,6e90835f-9e2b-46f0-8e44-3c1590ed7013.jpg,20250709-011,500g,盒马APP,1752029814000,,原味,上海盒马物联网有限公司,浙江佰宜农业科技有限公司,494f4d7f-4691-4a2c-906b-4120090582c4.jpg,,,,
recSIMFoD4,optPtXXvOA,中国,高邮,江苏,单,松花皮蛋,肉蛋水产,蛋类,#小程序://大润发优鲜/bOGqm1bGNg6Fu3E,DRF-0002A,DRF,0002,A,image.png,1.5,image.png,20250709-012,55g/袋,大润发,1752024212000,,,,,,,,,
recYQk5G2F,optJhC0rpt,中国,青岛,山东,混,多口味燕麦脆礼盒,休闲食品,休闲食品,,PDL-,PDL,,,微信图片_2025-07-09_092042_534.jpg,119,微信图片_2025-07-09_092036_415.jpg,20250709-013,1.92kg,胖东来,1752024288000,,坚果*2+草莓水果*2+酸奶水果*2,许昌市胖东来超市有限公司,青岛三昌食品科技有限公司,,,6袋/箱,,
recRMRfFnM,optvPCCsgh,中国,泉州,福建,单,爱尚咪咪虾味膨胀食品,休闲食品,薯片膨化,https://chaoshi.detail.tmall.com/item.htm?id=538402184082&pisk=gPwErG4Sb9BFjOeFrcDy7xs0evHKKvbf-8gSquqoA20nF6LyUu0aNM3IP5yr7ojKR_CLz5zuWXgHdvTu7zas-JgIK4-zPPpQPWZnrLz7VJa7x2goZVqudzrRv00urzu7O16bvkH-EZTPhtZdcPFLpyunECjo4DAhfXA6vYjKEZ_fUCti9wMuPX_DsCAiDVmHKXclbVmj0YYoqz0ismmX-YDurGuiAmvnrD0lIfmSSBvHE4qis0iHE4voZGriW0LnEYcPKkqkQmGh2sYdK95D5bu0xVJk3nnEt3ZMNLJPBclnofDHEfwZYXu0x-7a8rigCRlj13_sIoF_-ckVLEnUsokn48IDa4lzpAuautv-XW4UIby12tqIL0lmEf-kElrn5f2nntYZX5qQZJUe4LmLd-GrkfSkebMghjV083IYjvmuyje5kp33qoeYGxWekDPg0ASruUngB5y8TUArtcnZlGSNVkJL6ViraJAJwfDxbqsIAQd-tcnZlGSwwQhiDcufAD1..&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E4%25BC%2591%25E9%2597%25B2%25E9%259B%25B6%25E9%25A3%259F&skuId=4874255241082&smCaptainPrice=940&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_0.23505885ru0mO9,MC-0001A,MC,0001,A,,9.9,咪咪正图.png,20250709-014,18g*20包,猫超,1752024584000,9.4,虾味,泉州爱尚食品有限公司,泉州爱尚食品有限公司,咪咪反图.png,,,,
recvG1B30k,optYf9ythE,中国,泰安,山东,单,香巴佬卤鸡蛋,肉蛋水产,蛋类,#小程序://大润发优鲜/o6eDoP2Mfl6TvRo,DRF-0003A,DRF,0003,A,image.png,2,image.png,20250709-015,30g/袋,大润发,1752024480000,1.65,原味,温州市香巴佬食品有限公司,山东鲁师傅食品有限公司,image.png,,,,
rec0YwvtNO,optWt8KknH,中国,青岛,山东,单,草莓水果燕麦脆,休闲食品,休闲食品,,PDL-0003A,PDL,0003,A,,21,微信图片_2025-07-09_092529_014.jpg,20250709-016,320g,胖东来,1752024540000,,草莓水果味,许昌市胖东来超市有限公司,青岛三昌食品科技有限公司,微信图片_2025-07-09_092555_231.jpg,,,,
rec07zrMTR,opt72DQbRO,中国,泰安,山东,单,香巴佬蜜汁鸡蛋,肉蛋水产,蛋类,#小程序://大润发优鲜/qJ2P79GrcjSpMDn,DRF-0004A,DRF,0004,A,image.png,2,image.png,20250709-017,30g/袋,大润发,1752024666000,,蜜汁味,温州市香巴佬食品有限公司,山东鲁师傅食品有限公司,image.png,,,,
recOe2LdPS,optsUDjOkK,中国,青岛,山东,单,每日坚果燕麦脆,休闲食品,休闲食品,,PDL-0003B,PDL,0003,B,,16.8,微信图片_2025-07-09_092925_974.jpg,20250709-018,320g,胖东来,1752024704000,,坚果味,许昌市胖东来超市有限公司,青岛三昌食品科技有限公司,微信图片_2025-07-09_092940_880.jpg,,,,
recScO4NfJ,optMUTdJlM,中国,青岛,山东,单,酸奶水果燕麦脆,休闲食品,休闲食品,,PDL-0003C,PDL,0003,C,,20.5,微信图片_2025-07-09_093249_414.jpg,20250709-019,320g,胖东来,1752024849000,,酸奶味,许昌市胖东来超市有限公司,青岛三昌食品科技有限公司,微信图片_2025-07-09_093257_822.jpg,,,,
recqwTBJWi,optmuPBTGa,中国,许昌,河南,单,果仁列巴,休闲食品,休闲食品,,PDL-0004A,PDL,0004,A,微信图片_2025-07-09_093537_846.png,39.8,微信图片_2025-07-09_093529_573.png,20250709-020,800g,胖东来,1752025104000,,原味,许昌市胖东来超市有限公司,许昌市胖东来实业有限公司,,,,,
recpzeK7bM,optkySJQxM,中国,无锡,江苏,单,文得福糯米锅巴,熟食面点,油炸&点心,#小程序://大润发优鲜/TA1UnyGVcIdw5NJ,DRF-0005A,DRF,0005,A,image.png,18.9,image.png,20250709-021,350g/盒,大润发,1752025365000,15.8,蛋黄味,,,,,,,
recDEmzvKG,optEb4qnDr,中国,宁德,福建,单,盛耳银耳椰香薏米啵啵粥,方便速食,速食汤粥,https://chaoshi.detail.tmall.com/item.htm?id=807808466280&pisk=gRzrrkwIgaQzWJUPKj0e3VG9NX3-v4X1EyMItWVnNYDoRgpe8WD4A_HSdozE35f-FMI8Loy3H0MkP4933JwjEzMSrvRUd-L7duNoKeyQOzwQZYMnxxV3PJPdwXD3KJkQVi__w73K-O9F5NN-EJiRTJooqEA0MfvkqiilqQFCZO615wSki2WPCJN7HfTm_f0nZYmomslnsb0nq0ccgXcBEHYuKSfqHbvHZ3DknIcKT2vn-UA0ibhMxHmH-Sfq9xDn-2cyU7VHufil9GARgb5BuxHgZx8H7Chrq1PHAF8N5bmoImDk-maqa0kgZPW4URG0lroscB6jo5EbEjuNzdhzm5uoTyCMYvoUyqk4QNYKMu2zoDzf9NVSzXoi-mRH-SPohm4oSNvqMoV7xzeyTec8PPiEBm5HJDg05cqgUBCTi4c3pcUCBUHut5UTfV7yBbr0_qSPuph0kozL4pxEqjhqCs5VO788DxGEYzxpvm0tgA1SNHKKqjhqCs52vHnm6jk1Nb1..&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E9%2580%259F%25E9%25A3%259F%25E6%25B1%25A4%25E7%25B2%25A5&skuId=5491677081031&smCaptainPrice=750&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_3.ceac5885P1oQqu,MC-0002A,MC,0002,A,椰香薏米啵啵粥标签.png,9.9,image.png,20250709-022,156g,猫超,1752025947000,7.5,椰香薏米味,福建盛耳食品有限公司,福建盛好生物科技有限公司,椰香薏米啵啵粥侧图.png,,,,
recDh6bSFI,optdzVa5pS,中国,漳州,福建,单,银鲈鱼干,休闲食品,休闲食品,,PDL-0005B,PDL,0005,B,微信图片_2025-07-09_093929_502.jpg,9.9,微信图片_2025-07-09_093919_750.jpg,20250709-023,40g,胖东来,1752025845000,,原味,许昌市胖东来超市有限公司,福建嘉荣食品有限公司,微信图片_2025-07-09_093924_943.jpg,,,,
recWAz2u2H,optz2HngQN,中国,漳州,福建,单,鳕鱼干,休闲食品,休闲食品,,PDL-,PDL,,,微信图片_2025-07-09_095333_790.jpg,9.9,微信图片_2025-07-09_095324_726.jpg,20250709-024,40g,胖东来,1752026116000,,原味,许昌市胖东来超市有限公司,福建嘉荣食品有限公司,微信图片_2025-07-09_095328_614.jpg,,,,
recdWrGlHP,optYiEdW5X,中国,许昌,河南,单,香辣牛肉条,休闲食品,休闲食品,,PDL-0006A,PDL,0006,A,微信图片_2025-07-09_095544_229.png,30.6,微信图片_2025-07-09_095538_646.png,20250709-025,150g,胖东来,1752026291000,,香辣味,许昌市胖东来超市有限公司,许昌市胖东来实业有限公司,,,,,
rec9NEnm3Z,optIDJOjD0,中国,许昌,河南,混,芋泥麻薯酥饼红豆蛋黄酥饼组合,休闲食品,休闲食品,,PDL-,PDL,,,微信图片_2025-07-09_095950_510.png,66,微信图片_2025-07-09_095933_893.png,20250709-026,490g,胖东来,1752026612000,,芋泥味*1+红豆味*1,许昌市胖东来超市有限公司,许昌市胖东来实业有限公司,,,2盒/袋,,
recMF6aEEt,optyOdHDok,中国,北京,北京,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/MkAwa6ZltDccLRH,DRF-0006A,DRF,0006,A,image.png,6.4,image.png,20250709-027,70g/袋,大润发,1752026760000,5,流沙咸蛋黄味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY),image.png,,,,
recDpw51WS,optyOdHDok,中国,武汉,湖北,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/0LSTrLAnbgOmqDI,DRF-0006B,DRF,0006,B,image.png,6.4,image.png,20250709-028,70g/袋,大润发,1752027144000,5,清新芥香味,百事食品(中国)有限公司 ,百事食品(中国)有限公司武汉分厂（WH）,image.png,,,,
rec1nODxhc,optyOdHDok,中国,德阳,四川,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/kJThf163imogneI,DRF-0006C,DRF,0006,C,image.png,6.4,image.png,20250709-029,70g/袋,大润发,1752027409000,5,浓郁蒜香味,百事食品(中国)有限公司 ,百事食品（四川）有限公司 （DY）,image.png,,,,
recuQpS4seM1sE,optyOdHDok,中国,北京,北京,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/P0tvVlW2lG77WYE,DRF-0006D,DRF,0006,D,image.png,11.9,image.png,20250709-030,135g/袋,大润发,1752028270000,10.56,流沙咸蛋黄味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recpTluCMC,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/29dvInlFTcetguj,DRF-0006E,DRF,0006,E,,9.9,image.png,20250709-031,115g/袋,大润发,1752030179000,8.56,原味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,23g*5包,,
recuQq3xpZ0LH3,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/vQm2FUNaFOlE8tx,DRF-0006F,DRF,0006,F,,9.9,image.png,20250709-032,115g/袋,大润发,1752031003000,8.56,黄瓜味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,23g*5包,,
recuQqVUzB31br,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/F2CF6AXBrdLWgOs,DRF-0006G,DRF,0006,G,image.png,10.9,image.png,20250709-033,175g/袋,大润发,1752043963000,,美国经典原味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrg3G9AUU7,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/46bSFfG0IoizLlg,DRF-0006H,DRF,0006,H,image.png,10.9,image.png,20250709-034,175g/袋,大润发,1752048763000,,意大利香浓红烩味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrhcxGUCuf,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/AADkqI0gLfXXSTi,DRF-0006I,DRF,0006,I,image.png,10.9,image.png,20250709-035,175g/袋,大润发,1752049036000,,黄瓜味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrknXzaZ0M,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/ZrrzbopvwnzwKoo,DRF-0006J,DRF,0006,J,image.png,10.9,image.png,20250709-036,175g/袋,大润发,1752049795000,,墨西哥鸡汁番茄味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkojWG1UA,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/XP5FxCol3uHAZJJ,DRF-0006K,DRF,0006,K,image.png,10.9,image.png,20250709-037,175g/袋,大润发,1752049796000,,得克萨斯烧烤味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkonjlTye,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/pn3TOIwiosnlkjo,DRF-0006L,DRF,0006,L,image.png,3.7,image.png,20250709-038,40g/袋,大润发,1752049796000,,青柠味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkotzdK7h,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/BWVEvJcESrmCvEE,DRF-0006M,DRF,0006,M,image.png,3.7,image.png,20250709-039,40g/袋,大润发,1752049797000,,得克萨斯烧烤味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkowPlBUf,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/hhZQ4MWBoB4Vs0z,DRF-0006N,DRF,0006,N,image.png,6.4,image.png,20250709-040,70g/袋,大润发,1752049797000,,韩式泡菜味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqvFVKjZ,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/t3RZnguSmldBgkH,DRF-0006O,DRF,0006,O,image.png,7.3,image.png,20250709-041,75g/袋,大润发,1752049804000,5.5,美国经典原味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqC74VPf,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/VZnBDxGd4cq5jJx,DRF-0006P,DRF,0006,P,image.png,7.3,image.png,20250709-042,75g/袋,大润发,1752049805000,5.5,意大利香浓红烩味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqH1UcKG,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/HUDalHcMhJYBYGG,DRF-0006Q,DRF,0006,Q,image.png,7.3,image.png,20250709-043,75g/袋,大润发,1752049805000,5.5,黄瓜味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqJmYjUw,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/gMofQaW12Dzgskl,DRF-0006R,DRF,0006,R,image.png,7.3,image.png,20250709-044,75g/袋,大润发,1752049805000,5.5,墨西哥鸡汁番茄味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqOFUZ2Q,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/qzZxtiEjMcQw5jB,DRF-0006S,DRF,0006,S,image.png,7.3,image.png,20250709-045,75g/袋,大润发,1752049806000,5.5,得克萨斯烧烤味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqQXuEe1,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/gwm0RA7ikHWvnpc,DRF-0006T,DRF,0006,T,image.png,7.3,image.png,20250709-046,75g/袋,大润发,1752049806000,5.5,青柠味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqUnqMFd,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/JupFxj6Des7J5Om,DRF-0006U,DRF,0006,U,image.png,7.3,image.png,20250709-047,75g/袋,大润发,1752049807000,6.3,香辣小龙虾味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkqWxP9AE,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/fQsOoa7ANG4E7nu,DRF-0006V,DRF,0006,V,image.png,7.3,image.png,20250709-048,75g/袋,大润发,1752049807000,6.3,芥末章鱼味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQrkr1TA24O,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/Az7uOQtwefQTIbb,DRF-0006W,DRF,0006,W,image.png,7.3,image.png,20250709-049,75g/袋,大润发,1752049807000,6.3,花椒小酥肉味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recYiyVgYi,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/3T9STkmvPczpzEj,DRF-,DRF,,,image.png,7.5,image.png,20250711-050,65g/包,大润发,1752203135000,6.5,沁柠味,,,image.png,,,,
recuQBHOngQel2,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/3T9STkmvPczpzEj,DRF-,DRF,,,image.png,7.5,image.png,20250711-051,65g/包,大润发,1752203141000,6.5,海盐味,,,image.png,,,,
recuQC5h4BjbPD,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/i4f8EkmhXO4jfGC,DRF-,DRF,,,image.png,8.4,image.png,20250711-286,135g/袋,大润发,1752208733000,7.4,美国经典原味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC5h4BnGMK,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/O1TzMOXLhC5cLJz,DRF-,DRF,,,image.png,9.9,image.png,20250711-287,135g/袋,大润发,1752208733000,8.56,意大利香浓红烩味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC5h4BdDl5,optyOdHDok,中国,,,混,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/3EFR6H5QDD1ud2d,DRF-,DRF,,,image.png,9.9,image.png,20250711-288,23g/包,大润发,1752208733000,8.56,美国经典原味+黄瓜味+墨西哥鸡汁番茄味+青柠味+意大利香浓红烩味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,image.png,115g/袋（5小包）,,
recuQC5h4B1y85,optyOdHDok,中国,台湾,台湾,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/kQUQa8SlxFk0xex,DRF-,DRF,,,image.png,9.9,image.png,20250711-289,50g/袋,大润发,1752208733000,,酸奶油洋葱味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recuQC5h4B6sRc,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/4wszENHgJambHhu,DRF-,DRF,,,image.png,10.9,image.png,20250711-290,175g/袋,大润发,1752208733000,,青柠味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC5h4B5XpR,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/tedvPACAqcGOv7m,DRF-,DRF,,,image.png,11.9,image.png,20250711-291,135g/袋,大润发,1752208733000,10.56,黄瓜味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC5h4BKDzP,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/wMVSHdQLNftppak,DRF-,DRF,,,image.png,11.9,image.png,20250711-292,135g/袋,大润发,1752208733000,10.56,清新芥香味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC5h4BDlqM,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/k7xsRcYNyKTXa4h,DRF-,DRF,,,image.png,11.9,image.png,20250711-293,135g/袋,大润发,1752208733000,10.56,墨西哥鸡汁番茄味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC5h4B3KYH,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/T0ohiUVL2gotIyp,DRF-,DRF,,,image.png,11.9,image.png,20250711-294,135g/袋,大润发,1752208733000,10.56,青柠味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC9O6VvIeR,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/8A43iXiPMKoZKxd,DRF-,DRF,,,image.png,11.9,image.png,20250711-318,135g/袋,大润发,1752209813000,10.56,得克萨斯烧烤味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC9OHPYZxA,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/ZOnJFshVuvLSXOI,DRF-,DRF,,,image.png,11.9,image.png,20250711-319,135g/袋,大润发,1752209819000,10.56,香辣小龙虾味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC9P8FWVK0,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/tZ5TdcgIGizXNob,DRF-,DRF,,,image.png,11.9,image.png,20250711-320,135g/袋,大润发,1752209819000,10.56,韩式泡菜味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQC9PvSsoHr,optyOdHDok,中国,,,混,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/BYISpk362eTnlQd,DRF-,DRF,,,image.png,17.9,image.png,20250711-321,40g/包,大润发,1752209819000,13.9,美国经典原味马铃薯片+意大利香浓红烩味马铃薯片+墨西哥鸡汁番茄味马铃薯片+香脆烤鸡翅味大波浪薯片+铁板鱿鱼味大波浪薯片,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,200g/袋,,
