record_id,产品品名,产地（国家）,产地（市）,产地（省）,优惠到手价,单混,口味,品名,品类一级,品类二级,委托方,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,生产商,编号,背面图片,规格,采集平台,采集时间,商品链接,外包装图片,箱规,赠品图片,备注,赠品,赠品机制
recdNEzVxJ,optcoQYUOQ,泰国,,,,单,,椰子水,酒水饮料,果汁/植物饮,,SM-,SM,,,a6f8982f3dd936fce0617475c4a06f83_compress.jpg,64.9,bbcf14658c6a5f57a0624d6e2de4b9d1_compress.jpg,,20250709-085,,200ml,山姆APP,1752548792000,,a9b479fca2a9a8c23a0e81d5513cc114_compress.jpg,200ml*24,,,,
recZPxUHrL,optcoQYUOQ,泰国,,,,单,,椰子水,酒水饮料,果汁/植物饮,,SM-,SM,,,椰子水4-标.jpg,64.9,椰子水4-正.jpg,,20250715-804,,200ml,山姆APP,1752548792000,,椰子水4-外.jpg,200ml*24,,,,
recZKuhdMR,optpc65cYP,中国,杭州,浙江,,单,,精酿黑啤酒,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-,PDL,,,微信图片_2025-07-09_130554_674.png,57,微信图片_2025-07-09_130550_540.png,杭州千岛湖啤酒有限公司,20250709-086,,500ml,胖东来,1752548792000,,微信图片_2025-07-09_130550_540.png,12罐/箱,,,,
recfgjPAKS,opt5qRpuJN,中国,杭州,浙江,,单,,精酿小麦啤酒,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-,PDL,,,微信图片_2025-07-09_131045_527.png,45,微信图片_2025-07-09_131042_028.jpg,杭州千岛湖啤酒有限公司,20250709-087,,500ml,胖东来,1752548792000,,微信图片_2025-07-09_131042_028.jpg,12罐/箱,,,,
rechixM3PZ,opt5qRpuJN,中国,杭州,浙江,,单,,精酿小麦啤酒,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-,PDL,,,微信图片_2025-07-09_131308_010.png,60,微信图片_2025-07-09_131304_588.png,杭州千岛湖啤酒有限公司,20250709-088,,330ml,胖东来,1752548792000,,,24罐/箱,,,,
recnrLbrbJ,opt72TvFpj,泰国,,,,单,,椰子饮料,酒水饮料,果汁/植物饮,,SM-,SM,,,椰子水3-标.jpg,89,2d24cc9ceabe2a0373af9fe462f40203_compress.jpg,,20250709-090,,310ml,山姆APP,1752548792000,,e322e35c2cae4f1e144780a69c166dcd_compress.jpg,310ml*24,,,,
recjulYPLB,optLNPyLHP,中国,上海/滁州,上海/安徽,,单,,佳果源100%NFC黑钻凤梨汁,酒水饮料,果汁/植物饮,上海佳果源食品科技有限公司,SM-,SM,,,凤梨汁1-标.jpg,109.9,凤梨汁1-正.jpg,上海爱之味食品有限公司（A）/滁州华冠饮料有限公司（H）,20250709-093,,330ml,山姆APP,1752548792000,,凤梨汁1-外.jpg,330ml*10,,,,
rec44iYdJE,optnVvHTOX,中国,杭州/白山,浙江/吉林,,单,,养生堂白桦树汁,酒水饮料,果汁/植物饮,农夫山泉股份有限公司,SM-,SM,,,白桦树汁1-标.jpg,129.9,白桦树汁1-正.jpg,农夫山泉（建德）新安江饮用水有限公司/农夫山泉抚松长白山饮料有限公司,20250709-098,白桦树汁1-后.jpg,300ml,山姆APP,1752548792000,,白桦树汁1-外.jpg,300ml*15,,,,
rechgC5KR5,optnm9ZNsr,中国,上海,上海,,单,,喜茶羽衣甘蓝青瓜复合果蔬汁饮料,酒水饮料,果汁/植物饮,喜小瓶茶饮（珠海）有限责任公司,SM-,SM,,,羽衣甘蓝果蔬汁1-标.jpg,89.9,羽衣甘蓝果蔬汁1-正.jpg,上海紫泉饮料工业有限公司,20250709-108,羽衣甘蓝果蔬汁1-后.jpg,330ml,山姆APP,1752548792000,,羽衣甘蓝果蔬汁1-外.jpg,330ml*12,,,,
recS5oC1J8,optw0GS0HG,中国,泉州/滁州,福建/安徽,,单,,苹果黄芪饮,酒水饮料,果汁/植物饮,,SM-,SM,,,苹果饮1-标.jpg,69.9,苹果饮1-正.jpg,福建盼盼饮料有限公司/安徽盼盼食品有限公司,20250709-131,苹果饮1-后.jpg,350ml,山姆APP,1752548792000,,苹果饮1-外.jpg,350ml*24,,,,
recgF69wR0,opt2BhQPf2,西班牙,,,,单,,Member's Mark 苹果汁,酒水饮料,果汁/植物饮,,SM-,SM,,,苹果汁1-标.jpg,83.9,苹果汁1-正.jpg,,20250709-134,,200ml,山姆APP,1752548792000,,苹果汁1-外.jpg,200ml*30,,,,
rec7LAQJ7s,opt4VMtYaV,中国,泉州/滁州,福建/安徽,,单,,雪梨枇杷露,酒水饮料,果汁/植物饮,,SM-,SM,,,雪梨枇杷露1-标.jpg,69.9,雪梨枇杷露1-正.jpg,福建盼盼饮料有限公司/安徽盼盼食品有限公司,20250709-140,,350ml,山姆APP,1752548792000,,雪梨枇杷露1-外.jpg,350ml*15,,,,
recuvHQXhK,opt0irwBBN,中国,香港,香港,,单,,朱古力牛奶饮品,酒水饮料,果汁/植物饮,,SM-,SM,,,维他朱古力奶1-标.jpg,89.8,维他朱古力奶1-正.jpg,维他奶国际集团有限公司,20250710-169,,250ml,山姆APP,1752548792000,,维他朱古力奶1-外.jpg,250ml*24,,,,
recLZaX6e0,optYgsr2jX,中国,苏州/无锡,江苏,,单,,多肉爆汁柚子 复合果汁饮品,酒水饮料,果汁/植物饮,统一企业（中国）投资有限公司,SM-,SM,,,柚子汁1-标.jpg,89.9,柚子汁1-正.jpg,昆山统实企业有限公司/无锡统一实业包装有限公司,20250710-177,柚子汁1-后.jpg,270g,山姆APP,1752548792000,,柚子汁1-外.jpg,270g*15,,,,
rec7auo3fM,optiXun4OH,中国,滁州,安徽,,单,,100%NFC橙汁,酒水饮料,果汁/植物饮,上海佳果源食品科技有限公司,SM-,SM,,,橙汁1-标.jpg,99.9,橙汁1-正.jpg,滁州华冠饮料饮料有限公司,20250710-187,,200ml,山姆APP,1752548792000,,橙汁1-外.jpg,200ml*25,,,,
rec5VqTHCj,opt8Z2mLKE,中国,上海,上海,,单,,坚果乳植物蛋白饮料,酒水饮料,果汁/植物饮,统一企业（中国）投资有限公司,SM-,SM,,,坚果乳1-标.jpg,89.9,坚果乳1-正.jpg,上海文辉食品工业有限公司,20250710-209,,250ml,山姆APP,1752548792000,,坚果乳1-外.jpg,250ml*18,,,,
recbOtd8Lt,optD7BrCLX,中国,青岛,山东,,单,蜜桃乌龙,蜜桃乌龙啤酒,酒水饮料,酒水饮料,,DRF-,DRF,,,image.png,12.9,image.png,华勒(青岛)食品研究中心(有限合伙),20250711-277,image.png,1L,大润发,1752548792000,,,,,,,
reczVSXR0Y,opttYa8OgR,中国,青岛,山东,,单,毛尖茶香,毛尖绿茶啤酒,酒水饮料,酒水饮料,,DRF-,DRF,,,image.png,12.9,image.png,华勒(青岛)食品研究中心(有限合伙),20250711-281,image.png,1L,大润发,1752548792000,,,,,,,
recwmNhDRx,optjF9iWgb,中国,湖州,浙江,,单,,山里红山楂汁,酒水饮料,饮料,,DRF-,DRF,,,image.png,12.8,image.png,乐源健康科技(湖州)有限公司,20250711-372,image.png,1L,大润发,1752548792000,,,,,,,
recJ1b83pK,optzKn5Y1U,中国,无锡,江苏,,单,,100%NFC鲜榨冰糖橙汁,酒水饮料,饮料,,DRF-,DRF,,,,22.9,image.png,江苏润宝食品有限公司,20250711-388,image.png,1L,大润发,1752548792000,,,,,,,
recRtypTfH,optNUHLCv6,中国,无锡,江苏,,单,,100%NFC鲜榨丑苹果汁,酒水饮料,饮料,,DRF-,DRF,,,,24.9,image.png,江苏润宝食品有限公司,20250711-440,image.png,1L,大润发,1752548792000,,,,,,,
recayAIc47,optWYEfVo4,中国,烟台,山东,,单,,苹果醋饮料,酒水饮料,果汁/植物饮,,SM-,SM,,,苹果醋1-标.jpg,79.9,苹果醋1-正.jpg,烟台市金果源生物科技有限公司,20250714-591,苹果醋1-后.jpg,260ml,山姆APP,1752548792000,,苹果醋1-外.jpg,260ml*15,,,,
recpj0XZfo,optcqoAEg9,中国,杭州/苏州,浙江/江苏,,单,,爆汁多肉柑橘复合果汁饮品,酒水饮料,果汁/植物饮,统一企业（中国）投资有限公司,SM-,SM,,,柑橘汁1-标1.jpg,89.9,柑橘汁1-正.jpg,杭州统一企业有限公司/昆山统实企业有限公司,20250714-599,,270g,山姆APP,1752548792000,,柑橘汁1-外.jpg,270g*15,,,,
recIJ3xsue,optXeYHcyr,西班牙,,,,单,,葡萄橙混合果汁,酒水饮料,果汁/植物饮,,SM-,SM,,,葡萄橙1-标.jpg,79.9,葡萄橙1-正.jpg,,20250714-616,,200ml,山姆APP,1752548792000,,葡萄橙1-外.jpg,200ml*30,,,,
recVeRiX0Q,optGuPvHlH,中国,,,,单,,Member's Mark NFC 100% 桑椹汁,酒水饮料,果汁/植物饮,,SM-,SM,,,桑椹汁1-标.jpg,109.9,桑椹汁1-正.jpg,,20250714-621,,300ml,山姆APP,1752548792000,,桑椹汁1-外.jpg,300ml*20,,,,
rec896fweK,optWz6yD4B,中国,淮安，泰州/咸阳,江苏/陕西,,单,,佳果源100%NFC原榨奇异果果汁,酒水饮料,果汁/植物饮,上海佳果源食品科技有限公司,SM-,SM,,,奇异果汁1-标.jpg,99.9,奇异果汁1-正.jpg,江苏优抗力健康产业有限公司/杨凌华之沣饮料有限公司/江苏上首生物科技有限公司,20250714-629,奇异果汁1-后.jpg,250g,山姆APP,1752548792000,,奇异果汁1-外.jpg,250g*12,,,,
recDH6z9A5,opt2kU6ITY,中国,聊城,山东,,单,,有机玉米汁,酒水饮料,果汁/植物饮,,SM-,SM,,,玉米汁1-标.jpg,99.9,玉米汁1-正.jpg,聊城好佳一生物乳业有限公司,20250714-650,,300g,山姆APP,1752548792000,,玉米汁1-外.jpg,300g*24,,,,
recJi1hDIj,optuPjbUau,美国,,,,单,,西梅汁,酒水饮料,果汁/植物饮,,SM-,SM,,,西梅汁1-标.jpg,62.9,西梅汁1-正外.jpg,,20250714-652,西梅汁1-后.jpg,946ml,山姆APP,1752548792000,,西梅汁1-正外.jpg,946ml*2,,,,
recMCNnq0e,opt4GtZsDM,中国,咸宁,湖北,,单,,山楂满满原味山楂汁（鲜果味）果汁饮料,酒水饮料,果汁/植物饮,济南金晔食品有限公司,SM-,SM,,,山楂汁1-标.jpg,99.9,山楂汁1-正.jpg,湖北奥瑞金饮料工业有限公司,20250714-661,山楂汁1-后.jpg,310ml,山姆APP,1752548792000,,山楂汁1-外.jpg,310ml*24,,,,
recJxwSmva,opt4RaIiv4,中国,上海,上海,,单,,Unif 100%NFC蓝莓汁,酒水饮料,果汁/植物饮,统一企业（中国）投资有限公司,SM-,SM,,,蓝莓汁1-标.jpg,105.9,蓝莓汁1-正.jpg,上海文辉食品工业有限公司,20250715-803,,200ml,山姆APP,1752548792000,,蓝莓汁1-外.jpg,200ml*12,,,,
rec7PxYDvt,optfu1mdoV,中国,长沙,湖南,,单,,Unif东方美人茶 原味茶饮料,酒水饮料,咖啡/茶饮,,SM-,SM,,,茶1-标.jpg,79.9,茶1-正.jpg,长沙统一企业有限公司,20250715-805,,350ml,山姆APP,1752548792000,,茶1-外.jpg,350ml*18,,,,
recIbhlIKD,optK9Qi9Ln,韩国,,,,单,,TRADERS DEAL 蜂蜜柚子茶,酒水饮料,咖啡/茶饮,,SM-,SM,,,蜂蜜柚子1-标.jpg,69.8,蜂蜜柚子1-正.jpg,,20250715-806,,2kg,山姆APP,1752548792000,,蜂蜜柚子1-外.jpg,,,,,
recyPJxvVd,opt0kBM78N,中国,深圳,广东省,49.9,单,,碧泉双柠鸭屎香柠檬茶,酒水饮料,咖啡/茶饮,广州屈臣氏食品饮料有限公司,SM-,SM,,,柠檬茶1-标.jpg,59.9,柠檬茶1-正.jpg,深圳市深晖企业有限公司,20250715-807,,250ml,山姆APP,1752548792000,,柠檬茶1-外1.jpg,250ml*24,,,,
recKNr4Xcl,opt9ABFTDL,中国,黄冈,湖北,,单,,咖啡牛奶,酒水饮料,咖啡/茶饮,,SM-,SM,,,咖啡牛奶1-标.jpg,49.9,咖啡牛奶1-外正.jpg,湖北黄冈伊利乳业有限责任公司黄州分公司,20250715-813,咖啡牛奶1-后.jpg,290ml,山姆APP,1752548792000,,咖啡牛奶1-外正.jpg,290ml*8,,,,
recIN9LVYH,optApvQK6a,中国,苏州/广州,江苏/广东,,单,,星巴克 哥伦比亚咖啡拿铁 咖啡饮料,酒水饮料,咖啡/茶饮,上海康领食品有限公司,SM-,SM,,,咖啡1-标.jpg,109.9,咖啡1-正.jpg,苏州顶津食品有限公司/广州顶津食品有限公司,20250715-815,,250ml,山姆APP,1752548792000,,咖啡1-外.jpg,250ml*15,,,,
recdO5zbI2,optF1YOPft,中国,杭州市建德市,浙江,,单,,东方树叶青柑普洱复合茶饮料,酒水饮料,咖啡/茶饮,农夫山泉股份有限公司,SM-,SM,,,茶2-标.jpg,57.9,茶2-正.jpg,农夫山泉（建德）新安江饮料有限公司,20250715-819,茶2-后.jpg,400ml,山姆APP,1752548792000,,茶2-外.jpg,400ml*24,,,,
recbfnske2,optCVay4wQ,中国,咸宁/滁州/肇庆,湖北/安徽/广东,,单,,生普洱茶 无糖茶饮品,酒水饮料,咖啡/茶饮,元气森林（北京）食品科技集团有限公司,SM-,SM,,,茶3-标.jpg,69.9,茶3-正.jpg,元气森林（湖北）饮料有限公司/元气森林（安徽）饮料有限公司/元气森林（广东）饮料有限公司,20250715-821,,500ml,山姆APP,1752548792000,,茶3-外.jpg,500ml*15,,,,
recHDX6VMJ,optJcbF73l,中国,苏州,江苏,,单,,三得利黑乌龙茶 乌龙茶饮料（无糖）,酒水饮料,咖啡/茶饮,三得利（中国）投资有限公司,SM-,SM,,,茶4-标.jpg,99.9,茶4-正.jpg,东洋饮料（常熟）有限公司,20250715-822,,349ml,山姆APP,1752548792000,,茶4-外.jpg,349ml*24,,,,
recANTmgZf,optWTD77z5,泰国,,,,单,,SINGHA 伟狮苏打水,酒水饮料,饮用水,,SM-,SM,,,苏打水1-标.jpg,51.9,苏打水1-正.jpg,,20250715-824,,325ml,山姆APP,1752548792000,,苏打水1-外.jpg,325ml*24,,,,
rec8iG09cv,opt4eNUW4t,中国,佛山,广东,,单,,屈臣氏苏打汽水,酒水饮料,饮用水,广州屈臣氏食品饮料有限公司,SM-,SM,,,苏打水2-标.jpg,65,苏打水2-正后.jpg,广东健力宝股份有限公司/佛山本一健康产业科技有限公司,20250715-828,苏打水2-正后.jpg,265ml,山姆APP,1752548792000,,苏打水2-外.jpg,265ml*24,,,,
recVtbQRK1,optob0DNwA,中国,杭州,浙江,,单,,怡泉苏打水,酒水饮料,饮用水,,SM-,SM,,,苏打水3-标.jpg,69.9,苏打水3-正.jpg,浙江太古可口可乐饮料有限公司,20250715-835,,275ml,山姆APP,1752548792000,,苏打水3-外.jpg,275ml*24,,,,
recs6Ss5Nt,opt1t1VhXZ,中国,佛山,广东,,单,盐焗味,盐焗味开心果,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0002A,PDL,0002,A,微信图片_2025-07-08_162059_778.jpg,79,微信图片_2025-07-08_162051_515.png,广东南兴天虹果仁制品有限公司,20250708-008,,600g,胖东来,1752548792000,,,,,,,
recsJ5rkcN,optpb5FL8U,中国,绍兴,浙江,,单,原味,原味腰果仁,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0002B,PDL,0002,B,微信图片_2025-07-08_162645_516.png,159,微信图片_2025-07-08_162638_347.jpg,浙江佰宜农业科技有限公司,20250708-009,,1.25kg,胖东来,1752548792000,,,,,,,
recXSrclkb,optcGqFQRI,中国,佛山,广东,,单,原味,原味开心果,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0002C,PDL,0002,C,微信图片_2025-07-08_162952_444.jpg,79,微信图片_2025-07-08_162944_563.png,广东南兴天虹果仁制品有限公司,20250708-010,,600g,胖东来,1752548792000,,,,,,,
recYQk5G2F,optJhC0rpt,中国,青岛,山东,,混,坚果*2+草莓水果*2+酸奶水果*2,多口味燕麦脆礼盒,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-,PDL,,,微信图片_2025-07-09_092042_534.jpg,119,微信图片_2025-07-09_092036_415.jpg,青岛三昌食品科技有限公司,20250709-013,,1.92kg,胖东来,1752548792000,,,6袋/箱,,,,
recRMRfFnM,optvPCCsgh,中国,泉州,福建,9.4,单,虾味,爱尚咪咪虾味膨胀食品,休闲食品,薯片膨化,泉州爱尚食品有限公司,MC-0001A,MC,0001,A,,9.9,咪咪正图.png,泉州爱尚食品有限公司,20250709-014,咪咪反图.png,18g*20包,猫超,1752548792000,https://chaoshi.detail.tmall.com/item.htm?id=538402184082&pisk=gPwErG4Sb9BFjOeFrcDy7xs0evHKKvbf-8gSquqoA20nF6LyUu0aNM3IP5yr7ojKR_CLz5zuWXgHdvTu7zas-JgIK4-zPPpQPWZnrLz7VJa7x2goZVqudzrRv00urzu7O16bvkH-EZTPhtZdcPFLpyunECjo4DAhfXA6vYjKEZ_fUCti9wMuPX_DsCAiDVmHKXclbVmj0YYoqz0ismmX-YDurGuiAmvnrD0lIfmSSBvHE4qis0iHE4voZGriW0LnEYcPKkqkQmGh2sYdK95D5bu0xVJk3nnEt3ZMNLJPBclnofDHEfwZYXu0x-7a8rigCRlj13_sIoF_-ckVLEnUsokn48IDa4lzpAuautv-XW4UIby12tqIL0lmEf-kElrn5f2nntYZX5qQZJUe4LmLd-GrkfSkebMghjV083IYjvmuyje5kp33qoeYGxWekDPg0ASruUngB5y8TUArtcnZlGSNVkJL6ViraJAJwfDxbqsIAQd-tcnZlGSwwQhiDcufAD1..&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E4%25BC%2591%25E9%2597%25B2%25E9%259B%25B6%25E9%25A3%259F&skuId=4874255241082&smCaptainPrice=940&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_0.23505885ru0mO9,,,,,,
rec0YwvtNO,optWt8KknH,中国,青岛,山东,,单,草莓水果味,草莓水果燕麦脆,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0003A,PDL,0003,A,,21,微信图片_2025-07-09_092529_014.jpg,青岛三昌食品科技有限公司,20250709-016,微信图片_2025-07-09_092555_231.jpg,320g,胖东来,1752548792000,,,,,,,
recOe2LdPS,optsUDjOkK,中国,青岛,山东,,单,坚果味,每日坚果燕麦脆,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0003B,PDL,0003,B,,16.8,微信图片_2025-07-09_092925_974.jpg,青岛三昌食品科技有限公司,20250709-018,微信图片_2025-07-09_092940_880.jpg,320g,胖东来,1752548792000,,,,,,,
recScO4NfJ,optMUTdJlM,中国,青岛,山东,,单,酸奶味,酸奶水果燕麦脆,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0003C,PDL,0003,C,,20.5,微信图片_2025-07-09_093249_414.jpg,青岛三昌食品科技有限公司,20250709-019,微信图片_2025-07-09_093257_822.jpg,320g,胖东来,1752548792000,,,,,,,
recqwTBJWi,optmuPBTGa,中国,许昌,河南,,单,原味,果仁列巴,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0004A,PDL,0004,A,微信图片_2025-07-09_093537_846.png,39.8,微信图片_2025-07-09_093529_573.png,许昌市胖东来实业有限公司,20250709-020,,800g,胖东来,1752548792000,,,,,,,
recDh6bSFI,optdzVa5pS,中国,漳州,福建,,单,原味,银鲈鱼干,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0005B,PDL,0005,B,微信图片_2025-07-09_093929_502.jpg,9.9,微信图片_2025-07-09_093919_750.jpg,福建嘉荣食品有限公司,20250709-023,微信图片_2025-07-09_093924_943.jpg,40g,胖东来,1752548792000,,,,,,,
recWAz2u2H,optz2HngQN,中国,漳州,福建,,单,原味,鳕鱼干,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-,PDL,,,微信图片_2025-07-09_095333_790.jpg,9.9,微信图片_2025-07-09_095324_726.jpg,福建嘉荣食品有限公司,20250709-024,微信图片_2025-07-09_095328_614.jpg,40g,胖东来,1752548792000,,,,,,,
recdWrGlHP,optYiEdW5X,中国,许昌,河南,,单,香辣味,香辣牛肉条,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-0006A,PDL,0006,A,微信图片_2025-07-09_095544_229.png,30.6,微信图片_2025-07-09_095538_646.png,许昌市胖东来实业有限公司,20250709-025,,150g,胖东来,1752548792000,,,,,,,
rec9NEnm3Z,optIDJOjD0,中国,许昌,河南,,混,芋泥味*1+红豆味*1,芋泥麻薯酥饼红豆蛋黄酥饼组合,休闲食品,休闲食品,许昌市胖东来超市有限公司,PDL-,PDL,,,微信图片_2025-07-09_095950_510.png,66,微信图片_2025-07-09_095933_893.png,许昌市胖东来实业有限公司,20250709-026,,490g,胖东来,1752548792000,,,2盒/袋,,,,
recqggqZOr,optOnAnSj3,中国,泰州,江苏,27.9,单,原味,高蛋白肉脯,休闲食品,猪肉脯,三只松鼠（无为）有限责任公司,MC-,MC,,,,49.9,image.png,靖江市汇恒食品有限公司,20250709-071,image.png,500g,猫超,1752548792000,https://chaoshi.detail.tmall.com/item.htm?id=733346630371&pisk=grxnyejkbe7Bl8AY9CSIu5VhdRg9RJs5CQERwgCr7151wvtKd_-MiQqL2LJpSTRJ1YMCvL5kZCC_96EdYgYl_QZdTXtRqQvyTpQF9vslzQRF8kCdyCvyaM7WJ_CdZgvWiAhxDmpBdg_EMjnx4bQVSiaU8TPRQOWRq9y9qwe2dgsrZRErkmvBOC2_E9WPQAXRF9rea6zNb16ULg5Fz5zN315P4Q5UQdW5HTzFzu5ZItW7Yk5PUP5NFTNFLQSrId51Ubqa4sxyfhlT3T13UHMvf9bhgp5eppKZgwaBp10n8hYG-slAsuryj9vkxASYm4C2l6QAgCoTxgvNECbv-jqHZLJXzNxuTvd2_UAPCFGursYypEt1J8zeI3fhuH7iqxpcxTRPrFG0D9jpSZxHRYNwLICHuM98nXpGoFbfQNyu8MLvH3_2YDVf6Z6ksZLnikAV4MzauBK4VOkJbza58O6GMP-dgYsCT4vsIA4jRwW1pjHiIza58O6GMADglW_FC9hA.&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E7%258C%25AA%25E8%2582%2589%25E8%2584%25AF&skuId=5962893386115&smCaptainPrice=2790&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_1.1a40588557pUXV,,,,,,
